date,n_week,treatment,sampling_point,sample_code,Insect_sheet_collected,other_planthopper,cicadellidae_spp,thysanoptera_spp
2017/07/26,9,Conv,8,17_0726_Conv_8,Y,NA,NA,NA
2017/07/26,9,Conv,9,17_0726_Conv_9,Y,NA,NA,NA
2017/07/26,9,Conv,10,17_0726_Conv_10,Y,NA,NA,NA
2017/07/26,9,NC,0,17_0726_NC_0,N,NA,NA,NA
2017/08/02,10,NoFert,1,17_0802_NoFert_1,Y,0,3,5
2017/08/02,10,NoFert,2,17_0802_NoFert_2,Y,0,10,5
2017/08/02,10,NoFert,3,17_0802_NoFert_3,Y,0,4,2
2017/08/02,10,NoFert,4,17_0802_NoFert_4,Y,0,7,1
2017/08/02,10,NoFert,5,17_0802_NoFert_5,Y,0,6,8
2017/08/02,10,Conv,6,17_0802_Conv_6,Y,0,0,1
2017/08/02,10,Conv,7,17_0802_Conv_7,Y,0,9,1
2017/08/02,10,Conv,8,17_0802_Conv_8,Y,0,13,2
2017/08/02,10,Conv,9,17_0802_Conv_9,Y,0,5,17
2017/08/02,10,Conv,10,17_0802_Conv_10,Y,0,7,0
2017/08/02,10,NC,0,17_0802_NC_0,N,NA,NA,NA
2017/08/09,11,NoFert,1,17_0809_NoFert_1,Y,1,2,2
2017/08/09,11,NoFert,2,17_0809_NoFert_2,Y,3,5,2
2017/08/09,11,NoFert,3,17_0809_NoFert_3,Y,5,7,3
2017/08/09,11,NoFert,4,17_0809_NoFert_4,Y,3,3,0
2017/08/09,11,NoFert,5,17_0809_NoFert_5,Y,1,8,4
2017/08/09,11,Conv,6,17_0809_Conv_6,Y,0,4,5
2017/08/09,11,Conv,7,17_0809_Conv_7,Y,0,12,5
2017/08/09,11,Conv,8,17_0809_Conv_8,Y,1,14,7
2017/08/09,11,Conv,9,17_0809_Conv_9,Y,3,23,4
2017/08/09,11,Conv,10,17_0809_Conv_10,Y,0,19,4
2017/08/09,11,NC,0,17_0809_NC_0,N,NA,NA,NA
2017/08/16,12,NoFert,1,17_0816_NoFert_1,Y,0,6,1
2017/08/16,12,NoFert,2,17_0816_NoFert_2,Y,0,17,0
2017/08/16,12,NoFert,3,17_0816_NoFert_3,Y,0,8,0
2017/08/16,12,NoFert,4,17_0816_NoFert_4,Y,2,17,0
2017/08/16,12,NoFert,5,17_0816_NoFert_5,Y,1,13,2
2017/08/16,12,Conv,6,17_0816_Conv_6,Y,1,9,0
2017/08/16,12,Conv,7,17_0816_Conv_7,Y,2,3,2
2017/08/16,12,Conv,8,17_0816_Conv_8,Y,3,4,2
2017/08/16,12,Conv,9,17_0816_Conv_9,Y,0,8,1
2017/08/16,12,Conv,10,17_0816_Conv_10,Y,2,7,4
2017/08/16,12,NC,0,17_0816_NC_0,N,NA,NA,NA
2017/08/23,13,NoFert,1,17_0823_NoFert_1,Y,0,1,1
2017/08/23,13,NoFert,2,17_0823_NoFert_2,Y,3,22,5
2017/08/23,13,NoFert,3,17_0823_NoFert_3,Y,1,14,12
2017/08/23,13,NoFert,4,17_0823_NoFert_4,Y,6,12,2
2017/08/23,13,NoFert,5,17_0823_NoFert_5,Y,9,2,14
2017/08/23,13,Conv,6,17_0823_Conv_6,Y,2,4,5
2017/08/23,13,Conv,7,17_0823_Conv_7,Y,3,6,0
2017/08/23,13,Conv,8,17_0823_Conv_8,Y,0,3,0
2017/08/23,13,Conv,9,17_0823_Conv_9,Y,6,13,4
2017/08/23,13,Conv,10,17_0823_Conv_10,Y,7,8,2
2017/08/23,13,NC,0,17_0823_NC_0,N,NA,NA,NA
2017/08/30,14,NoFert,1,17_0830_NoFert_1,Y,0,14,6
2017/08/30,14,NoFert,2,17_0830_NoFert_2,Y,0,33,0
2017/08/30,14,NoFert,3,17_0830_NoFert_3,Y,0,22,4
2017/08/30,14,NoFert,4,17_0830_NoFert_4,Y,0,13,4
2017/08/30,14,NoFert,5,17_0830_NoFert_5,Y,0,11,5
2017/08/30,14,Conv,6,17_0830_Conv_6,Y,8,7,2
2017/08/30,14,Conv,7,17_0830_Conv_7,Y,0,26,0
2017/08/30,14,Conv,8,17_0830_Conv_8,Y,4,3,3
2017/08/30,14,Conv,9,17_0830_Conv_9,Y,14,6,8
2017/08/30,14,Conv,10,17_0830_Conv_10,Y,0,11,5
2017/08/30,14,NC,0,17_0830_NC_0,N,NA,NA,NA
