date,n_week,treatment,sampling_point,sample_code,momilactone_A_ug_g_FW,momilactone_B_ug_g_FW,phytocassane_B_ug_g_FW,phytocassane_B3_ug_g_FW,sakuranetin_ug_g_FW
2017/05/19,0,NoFert,1,17_0519_NoFert_1,NA,NA,NA,NA,NA
2017/05/19,0,NoFert,2,17_0519_NoFert_2,NA,NA,NA,NA,NA
2017/05/19,0,NoFert,3,17_0519_NoFert_3,NA,NA,NA,NA,NA
2017/05/19,0,NoFert,4,17_0519_NoFert_4,NA,NA,NA,NA,NA
2017/05/19,0,NoFert,5,17_0519_NoFert_5,NA,NA,NA,NA,NA
2017/05/19,0,Conv,6,17_0519_Conv_6,NA,NA,NA,NA,NA
2017/05/19,0,Conv,7,17_0519_Conv_7,NA,NA,NA,NA,NA
2017/05/19,0,Conv,8,17_0519_Conv_8,NA,NA,NA,NA,NA
2017/05/19,0,Conv,9,17_0519_Conv_9,NA,NA,NA,NA,NA
2017/05/19,0,Conv,10,17_0519_Conv_10,NA,NA,NA,NA,NA
2017/05/19,0,NC,0,17_0519_NC_0,NA,NA,NA,NA,NA
2017/05/31,1,NoFert,1,17_0531_NoFert_1,NA,NA,NA,NA,NA
2017/05/31,1,NoFert,2,17_0531_NoFert_2,NA,NA,NA,NA,NA
2017/05/31,1,NoFert,3,17_0531_NoFert_3,NA,NA,NA,NA,NA
2017/05/31,1,NoFert,4,17_0531_NoFert_4,NA,NA,NA,NA,NA
2017/05/31,1,NoFert,5,17_0531_NoFert_5,NA,NA,NA,NA,NA
2017/05/31,1,Conv,6,17_0531_Conv_6,NA,NA,NA,NA,NA
2017/05/31,1,Conv,7,17_0531_Conv_7,NA,NA,NA,NA,NA
2017/05/31,1,Conv,8,17_0531_Conv_8,NA,NA,NA,NA,NA
2017/05/31,1,Conv,9,17_0531_Conv_9,NA,NA,NA,NA,NA
2017/05/31,1,Conv,10,17_0531_Conv_10,NA,NA,NA,NA,NA
2017/05/31,1,NC,0,17_0531_NC_0,NA,NA,NA,NA,NA
2017/06/07,2,NoFert,1,17_0607_NoFert_1,1.433251433,0.274031454,0,2.006823199,0
2017/06/07,2,NoFert,2,17_0607_NoFert_2,0.316680317,0,0,0,0
2017/06/07,2,NoFert,3,17_0607_NoFert_3,0.504254254,0,0,0,0
2017/06/07,2,NoFert,4,17_0607_NoFert_4,2.874302874,0.636528029,0,8.141968407,0
2017/06/07,2,NoFert,5,17_0607_NoFert_5,0,0,0,0,0
2017/06/07,2,Conv,6,17_0607_Conv_6,0,0,0,0,0
2017/06/07,2,Conv,7,17_0607_Conv_7,0.22951523,0,0,0,0
2017/06/07,2,Conv,8,17_0607_Conv_8,0.461175461,0,0,0,0
2017/06/07,2,Conv,9,17_0607_Conv_9,0.652080652,0.188306209,0,0,0
2017/06/07,2,Conv,10,17_0607_Conv_10,0,0,0,0,0
2017/06/07,2,NC,0,17_0607_NC_0,NA,NA,NA,NA,NA
2017/06/14,3,NoFert,1,17_0614_NoFert_1,0,0,0,0,0
